10,868
524,817
534,413
537,667
538,790
547,885
36,860
51,354
54,548
569,274
580,226
70,96
584,844
74,768
75,700
78,735
593,991
112,546
118,661
633,418
128,970
641,649
133,788
138,593
656,961
152,864
154,614
156,745
670,132
678,893
170,180
685,450
181,631
696,781
699,724
191,70
200,367
713,897
204,61
719,722
209,343
722,194
726,757
548,414
739,442
238,670
242,140
756,994
768,965
770,395
259,391
268,28
783,292
279,724
792,780
645,35
289,934
807,791
808,49
300,557
304,542
821,71
837,194
328,276
331,263
848,470
850,886
856,435
858,385
347,858
862,20
356,165
871,744
873,203
365,751
882,819
886,525
376,778
377,435
389,896
906,385
914,603
416,352
435,485
436,254
440,410
955,638
447,297
843,830
452,615
973,423
471,642
336,508
994,546
483,308
